second,mission,formation,gps_mode,comms_mode,kill_chain,threat_level,num_contacts,alpha_status,alpha_x,alpha_y,alpha_speed,bravo_status,bravo_x,bravo_y,bravo_speed,charlie_status,charlie_x,charlie_y,charlie_speed,eagle1_status,eagle1_x,eagle1_y,eagle1_speed,eagle1_pattern,eagle1_altitude
0,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
1,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
2,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
3,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
4,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
5,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
6,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
7,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
8,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
9,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
10,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
11,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
12,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
13,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
14,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
15,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
16,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
17,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
18,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
19,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
20,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
21,,independent,full,full,,none,0,idle,0.0,0.0,0.00,idle,200.0,0.0,0.00,idle,400.0,0.0,0.00,idle,200.0,-100.0,0.00,,100
