test_id,wall_clock,asset_id,x,y,speed,position_accuracy,cumulative_distance_m
TEST-13-GPS-DENIED-DRIFT,1775091002.411,alpha,54.5,-44.7,2.88,0.01,0.0
TEST-13-GPS-DENIED-DRIFT,1775091002.411,bravo,241.6,-35.6,3.05,0.01,0.0
TEST-13-GPS-DENIED-DRIFT,1775091002.411,charlie,467.1,-23.8,4.23,0.01,0.0
TEST-13-GPS-DENIED-DRIFT,1775091002.661,alpha,56.7,-44.9,2.91,0.02,2.2
TEST-13-GPS-DENIED-DRIFT,1775091002.661,bravo,243.9,-35.9,3.08,0.02,2.3
TEST-13-GPS-DENIED-DRIFT,1775091002.661,charlie,470.3,-23.5,4.24,0.03,3.2
TEST-13-GPS-DENIED-DRIFT,1775091002.917,alpha,58.8,-45.0,2.94,0.03,4.3
TEST-13-GPS-DENIED-DRIFT,1775091002.917,bravo,246.2,-36.1,3.10,0.03,4.6
TEST-13-GPS-DENIED-DRIFT,1775091002.917,charlie,473.5,-23.1,4.25,0.04,6.4
TEST-13-GPS-DENIED-DRIFT,1775091003.169,alpha,61.0,-44.9,2.97,0.04,6.5
TEST-13-GPS-DENIED-DRIFT,1775091003.169,bravo,248.6,-36.2,3.13,0.04,7.0
TEST-13-GPS-DENIED-DRIFT,1775091003.169,charlie,476.7,-22.6,4.26,0.06,9.6
TEST-13-GPS-DENIED-DRIFT,1775091003.425,alpha,63.2,-44.7,3.00,0.05,8.8
TEST-13-GPS-DENIED-DRIFT,1775091003.425,bravo,250.9,-36.1,3.16,0.05,9.3
TEST-13-GPS-DENIED-DRIFT,1775091003.425,charlie,479.8,-22.1,4.27,0.07,12.8
TEST-13-GPS-DENIED-DRIFT,1775091003.676,alpha,65.5,-44.4,3.03,0.06,11.0
TEST-13-GPS-DENIED-DRIFT,1775091003.676,bravo,253.3,-36.0,3.19,0.07,11.7
TEST-13-GPS-DENIED-DRIFT,1775091003.676,charlie,483.0,-21.6,4.28,0.09,16.0
TEST-13-GPS-DENIED-DRIFT,1775091003.932,alpha,67.7,-44.0,3.05,0.07,13.3
TEST-13-GPS-DENIED-DRIFT,1775091003.932,bravo,255.7,-35.7,3.21,0.08,14.1
TEST-13-GPS-DENIED-DRIFT,1775091003.932,charlie,486.2,-21.0,4.29,0.11,19.3
TEST-13-GPS-DENIED-DRIFT,1775091004.186,alpha,69.9,-43.5,3.08,0.09,15.6
TEST-13-GPS-DENIED-DRIFT,1775091004.186,bravo,258.1,-35.4,3.24,0.09,16.6
TEST-13-GPS-DENIED-DRIFT,1775091004.186,charlie,489.4,-20.5,4.30,0.12,22.5
TEST-13-GPS-DENIED-DRIFT,1775091004.440,alpha,72.2,-42.9,3.11,0.10,17.9
TEST-13-GPS-DENIED-DRIFT,1775091004.440,bravo,260.5,-35.0,3.26,0.10,19.0
TEST-13-GPS-DENIED-DRIFT,1775091004.440,charlie,492.6,-19.9,4.31,0.14,25.7
TEST-13-GPS-DENIED-DRIFT,1775091004.690,alpha,74.4,-42.3,3.13,0.11,20.2
TEST-13-GPS-DENIED-DRIFT,1775091004.690,bravo,263.0,-34.6,3.29,0.11,21.5
TEST-13-GPS-DENIED-DRIFT,1775091004.690,charlie,495.8,-19.4,4.31,0.15,29.0
TEST-13-GPS-DENIED-DRIFT,1775091004.945,alpha,76.6,-41.6,3.16,0.12,22.5
TEST-13-GPS-DENIED-DRIFT,1775091004.945,bravo,265.4,-34.1,3.31,0.13,24.0
TEST-13-GPS-DENIED-DRIFT,1775091004.945,charlie,499.0,-18.8,4.32,0.17,32.2
TEST-13-GPS-DENIED-DRIFT,1775091005.198,alpha,78.9,-40.8,3.18,0.13,24.9
TEST-13-GPS-DENIED-DRIFT,1775091005.198,bravo,267.8,-33.5,3.33,0.14,26.5
TEST-13-GPS-DENIED-DRIFT,1775091005.198,charlie,502.2,-18.3,4.33,0.19,35.5
TEST-13-GPS-DENIED-DRIFT,1775091005.451,alpha,81.1,-40.1,3.20,0.14,27.3
TEST-13-GPS-DENIED-DRIFT,1775091005.451,bravo,270.3,-33.0,3.35,0.15,29.0
TEST-13-GPS-DENIED-DRIFT,1775091005.451,charlie,505.4,-17.8,4.34,0.20,38.7
TEST-13-GPS-DENIED-DRIFT,1775091005.704,alpha,83.4,-39.2,3.22,0.16,29.7
TEST-13-GPS-DENIED-DRIFT,1775091005.704,bravo,272.7,-32.4,3.37,0.16,31.5
TEST-13-GPS-DENIED-DRIFT,1775091005.704,charlie,508.6,-17.4,4.35,0.22,42.0
TEST-13-GPS-DENIED-DRIFT,1775091005.960,alpha,85.6,-38.4,3.24,0.17,32.1
TEST-13-GPS-DENIED-DRIFT,1775091005.960,bravo,275.2,-31.8,3.40,0.18,34.0
TEST-13-GPS-DENIED-DRIFT,1775091005.960,charlie,511.9,-16.9,4.36,0.24,45.3
TEST-13-GPS-DENIED-DRIFT,1775091006.212,alpha,87.9,-37.5,3.26,0.18,34.5
TEST-13-GPS-DENIED-DRIFT,1775091006.212,bravo,277.7,-31.2,3.42,0.19,36.6
TEST-13-GPS-DENIED-DRIFT,1775091006.212,charlie,515.2,-16.5,4.36,0.25,48.6
TEST-13-GPS-DENIED-DRIFT,1775091006.465,alpha,90.2,-36.6,3.29,0.19,37.0
TEST-13-GPS-DENIED-DRIFT,1775091006.465,bravo,280.2,-30.7,3.44,0.20,39.2
