test_id,wall_clock,alpha_bravo_dist,bravo_charlie_dist,alpha_charlie_dist,formation_type
FINAL,1775093488.710,151.1,162.8,306.9,echelon
INIT,1775088065.602,197.9,199.7,397.6,independent
INIT,1775088065.856,197.9,199.7,397.6,independent
INIT,1775088066.108,197.9,199.7,397.6,independent
INIT,1775088066.360,197.9,199.7,397.6,independent
INIT-RESET,1775088066.611,197.9,199.7,397.6,independent
INIT-RESET,1775088066.864,197.9,199.7,397.6,independent
INIT-RESET,1775088067.116,197.9,199.7,397.6,independent
INIT-RESET,1775088067.368,197.9,199.7,397.6,independent
INIT-RESET,1775088067.621,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088067.873,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088068.127,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088068.376,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088068.629,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088068.883,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088069.134,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088069.387,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088069.638,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088069.891,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088070.143,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088070.394,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088070.648,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088070.900,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088071.152,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088071.403,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088071.652,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088071.907,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088072.159,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088072.412,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088072.662,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088072.915,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088073.166,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088073.417,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088073.671,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088073.923,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088074.174,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088074.425,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088074.677,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088074.930,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088075.183,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088075.434,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088075.688,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088075.942,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088076.192,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088076.443,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088076.695,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088076.949,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088077.201,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088077.453,197.9,199.7,397.6,independent
TEST-00-BASELINE,1775088077.703,197.9,199.7,397.6,independent
TEST-01-PATROL,1775088077.958,196.4,201.7,398.0,echelon
TEST-01-PATROL,1775088078.210,191.9,207.6,399.4,echelon
TEST-01-PATROL,1775088078.460,187.5,213.7,400.7,echelon
TEST-01-PATROL,1775088078.714,180.4,223.8,403.0,echelon
TEST-01-PATROL,1775088078.967,173.6,234.1,405.4,echelon
TEST-01-PATROL,1775088079.219,169.6,240.4,406.8,echelon
TEST-01-PATROL,1775088079.471,165.7,246.8,408.3,echelon
TEST-01-PATROL,1775088079.727,161.9,253.2,409.7,echelon
TEST-01-PATROL,1775088079.980,158.3,259.7,411.1,echelon
TEST-01-PATROL,1775088080.233,154.7,266.3,412.6,echelon
TEST-01-PATROL,1775088080.486,151.3,273.0,414.0,echelon
TEST-01-PATROL,1775088080.743,148.0,279.7,415.4,echelon
TEST-01-PATROL,1775088080.997,145.0,286.4,416.8,echelon
